Record,Date,UTC_Time,puissance_mouteur1,puissance_mouteur2,val_TT-401,val_TT-402,val_FT-501,val_TSH-401,val_LIT-101,val_LIT-102,val_TT-101,val_TT-201,val_PT-101,systeme_mode_automatique,systeme_mode_manuel,systeme_mode_test,systeme_mode_arret,Torchere_active_niveau_Haut_gaz,systeme_arret_urgnce,phase_compostage_digesteur_3,phase_anoxie_digesteur_3,phase_methanisation_digesteur_3,phase_methanisation_sans_percolation_digesteur_3,phase_inertage_digesteur_3,phase_inertage_digesteur_3,degonflage_joints_digesteurs_3,vidange_digesteur_3,percolation_digesteur_3,attente_apres_percolation_digesteur_3,etape_initiale_grafcet_digesteur_4,phase_compostage_digesteur_4,phase_anoxie_digesteur_4,phase_methanisation_digesteur_4,phase_methanisation_sans_percolation_digesteur_4,phase_inertage_digesteur_4,phase_inertage_digesteur_4,vidange_digesteur_4,percolation_digesteur_4,phase_compostage_digesteur_1,phase_anoxie_digesteur_1,phase_methanisation_digesteur_1,phase_methanisation_sans_percolation_digesteur_1,phase_inertage_digesteur_1,phase_inertage_digesteur_1,vidange_digesteur_1,percolation_digesteur_1,phase_compostage_digesteur_2,phase_anoxie_digesteur_2,phase_methanisation_digesteur_2,phase_methanisation_sans_percolation_digesteur_2,phase_inertage_digesteur_2,phase_inertage_digesteur_2,percolation_digesteur_2,fonctionnement_moteur1,fonctionnement_moteur2,defaut_moteur1,defaut_moteur2,CH4_cent,Biogaz_produit_m3
245329,1/25/2023,18:29:26,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245330,1/25/2023,18:29:28,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245331,1/25/2023,18:29:30,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245332,1/25/2023,18:29:32,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245333,1/25/2023,18:29:34,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245334,1/25/2023,18:29:36,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245335,1/25/2023,18:29:38,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245336,1/25/2023,18:29:40,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245337,1/25/2023,18:29:42,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.2
245338,1/25/2023,18:29:44,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245339,1/25/2023,18:29:46,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245340,1/25/2023,18:29:48,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245341,1/25/2023,18:29:50,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245342,1/25/2023,18:29:52,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245343,1/25/2023,18:29:54,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245344,1/25/2023,18:29:56,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245345,1/25/2023,18:29:58,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245346,1/25/2023,18:30:00,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245347,1/25/2023,18:30:02,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.4
245348,1/25/2023,18:30:04,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245349,1/25/2023,18:30:06,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245350,1/25/2023,18:30:08,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245351,1/25/2023,18:30:10,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
245352,1/25/2023,18:30:12,545.2,545.2,56.3,25.3,562.3,145.2,89.2,29.5,45.2,65.3,45.5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,30,10.8
